F,F,F,F,M,M,M,M,All
No,No,Yes,Yes,No,No,Yes,Yes,
No,Yes,No,Yes,No,Yes,No,Yes,
0.0,0.0,0.02427564604541895,0.07870007830853563,0.0,0.0,0.03876272513703994,0.0947533281127643,0.2364917776037588
0.0,0.0,0.021143304620203602,0.03876272513703994,0.0,0.0,0.031714956930305405,0.05403288958496476,0.1456538762725137
0.09122944400939702,0.12294440093970242,0.02427564604541895,0.0548159749412686,0.11472200469851214,0.08183241973375098,0.03641346906812842,0.09162098668754894,0.6178543461237275
0.09122944400939702,0.12294440093970242,0.0696945967110415,0.17227877838684416,0.11472200469851214,0.08183241973375098,0.10689115113547376,0.240407204385278,1.0
